"AÑO";"MES";"ID";"TIPOEDIFICIO";"EDIFICIO";"BARRIO";"CLASE";"GRUPO";"UNIDADES";"CONSUMO"
"2020";"3";"167";"Centros escolares";"CEIP Ntra Sra Fuencisla";"ALMENDRALES";"Gas";"Ninguno";"m3";"2237,8"
"2020";"3";"209";"Centros escolares";"CEIP Pi i Margall";"UNIVERSIDAD";"Energia activa";"Activa Contador Gral - Bus";"kWh";"1704,9"
"2020";"3";"209";"Centros escolares";"CEIP Pi i Margall";"UNIVERSIDAD";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"-1082"
"2020";"3";"209";"Centros escolares";"CEIP Pi i Margall";"UNIVERSIDAD";"Gas";"Gas";"m3";"1687,5"
"2020";"3";"304";"Centros escolares";"CEIP Pradolongo";"ZOFÃ�O";"Energia activa";"Activa Interruptor Gral";"kWh";"4660,4"
"2020";"3";"304";"Centros escolares";"CEIP Pradolongo";"ZOFÃ�O";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"13,9"
"2020";"3";"304";"Centros escolares";"CEIP Pradolongo";"ZOFÃ�O";"Gas";"Ninguno";"m3";"0"
"2020";"3";"108";"Centros escolares";"CEIP Puerto Rico";"ORCASITAS";"Energia activa";"Activa Interruptor Gral";"kWh";"3000,7"
"2020";"3";"108";"Centros escolares";"CEIP Puerto Rico";"ORCASITAS";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"20,1"
"2020";"3";"108";"Centros escolares";"CEIP Puerto Rico";"ORCASITAS";"Gas";"Ninguno";"m3";"0"
"2020";"3";"247";"Centros escolares";"CEIP Residencia San Ildefonso";"PALACIO";"Energia activa";"Activa Contador Gral - Bus";"kWh";"6495"
"2020";"3";"247";"Centros escolares";"CEIP Residencia San Ildefonso";"PALACIO";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"2149"
"2020";"3";"247";"Centros escolares";"CEIP Residencia San Ildefonso";"PALACIO";"Gas";"Gas";"m3";"3885,1"
"2020";"3";"177";"Centros escolares";"CEIP VÃ¡zquez de Mella";"PALACIO";"Energia activa";"Activa Contador Gral - Bus";"kWh";"1893,9"
"2020";"3";"177";"Centros escolares";"CEIP VÃ¡zquez de Mella";"PALACIO";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"-1751,8"
"2020";"3";"177";"Centros escolares";"CEIP VÃ¡zquez de Mella";"PALACIO";"Gas";"Gas";"m3";"75,2"
"2020";"3";"1033";"Centros culturales y bibliotecas";"Centro de Mayores San Francisco";"PALACIO";"Energia activa";"Activa Contador Gral - Bus";"kWh";"20949"
